lat,lon,sza,lt,fmax,event,t_fdmax,t_rdmax,dt,pk
58.22,-103.68,114.0,4.93,0.000201076,2014-10-26 10:56:00,2014-10-26 10:16:00.660000,2014-10-26 10:41:59,1558.34,153_rabb
58.22,-103.68,85.06,8.78,0.000206868,2014-10-27 14:47:00,2014-10-27 14:14:15.733000,2014-10-27 14:36:15,1319.27,154_rabb
56.38,-94.64,51.95,12.75,0.000166743,2014-09-10 17:45:00,2014-09-10 17:23:26.323000,2014-09-10 17:28:56,329.68,156_gill
64.05,-139.11,69.92,10.75,0.00016674299999999999,2014-09-10 17:45:00,2014-09-10 17:23:26.323000,2014-09-10 17:29:01,334.68,156_daws
58.22,-103.68,54.99,11.75,0.000166743,2014-09-10 17:45:00,2014-09-10 17:23:26.323000,2014-09-10 17:28:51,324.68,156_rabb
64.05,-139.11,103.62,7.47,0.00016665900000000002,2014-10-22 14:28:00,2014-10-22 14:05:24.417000,2014-10-22 14:10:30,305.58,157_daws
61.76,-121.23,95.32,8.47,0.00016665900000000002,2014-10-22 14:28:00,2014-10-22 14:05:24.417000,2014-10-22 14:11:00,335.58,157_fsim
58.22,-103.68,85.71,8.47,0.00016665900000000002,2014-10-22 14:28:00,2014-10-22 14:05:24.417000,2014-10-22 14:10:10,285.58,157_rabb
62.82,-92.11,79.3,11.43,0.000162231,2014-11-07 17:26:00,2014-11-07 16:55:27.890000,2014-11-07 17:15:11,1183.11,158_rank
56.38,-94.64,73.12,11.43,0.000162231,2014-11-07 17:26:00,2014-11-07 16:55:27.890000,2014-11-07 17:07:06,698.11,158_gill
64.05,-139.11,89.74,9.43,0.000162231,2014-11-07 17:26:00,2014-11-07 16:55:27.890000,2014-11-07 17:23:21,1673.11,158_daws
58.22,-103.68,76.04,11.43,0.000162231,2014-11-07 17:26:00,2014-11-07 16:55:27.890000,2014-11-07 17:16:11,1243.11,158_rabb
56.66,-111.21,76.08,10.43,0.000162231,2014-11-07 17:26:00,2014-11-07 16:55:27.890000,2014-11-07 17:08:16,768.11,158_mcmu
69.54,-93.55,65.13,6.87,0.000154885,2014-06-10 12:52:00,2014-06-10 12:40:23.443000,2014-06-10 12:42:10,106.56,159_talo
62.82,-92.11,64.6,7.87,0.000154885,2014-06-10 12:52:00,2014-06-10 12:40:23.443000,2014-06-10 12:45:10,286.56,159_rank
50.02,-96.04,68.07,7.87,0.000154885,2014-06-10 12:52:00,2014-06-10 12:40:23.443000,2014-06-10 12:46:45,381.56,159_pina
56.38,-94.64,66.32,7.87,0.000154885,2014-06-10 12:52:00,2014-06-10 12:40:23.443000,2014-06-10 12:40:55,31.56,159_gill
64.05,-139.11,83.26,5.87,0.000154885,2014-06-10 12:52:00,2014-06-10 12:40:23.443000,2014-06-10 12:45:10,286.56,159_daws
61.76,-121.23,77.84,6.87,0.000154885,2014-06-10 12:52:00,2014-06-10 12:40:23.443000,2014-06-10 12:44:40,256.56,159_fsim
60.02,-111.95,74.38,6.87,0.000154885,2014-06-10 12:52:00,2014-06-10 12:40:23.443000,2014-06-10 12:47:30,426.56,159_fsmi
58.22,-103.68,70.81,6.87,0.000154885,2014-06-10 12:52:00,2014-06-10 12:40:23.443000,2014-06-10 12:49:30,546.56,159_rabb
62.82,-92.11,85.03,12.53,0.000125085,2014-01-07 18:32:00,2014-01-07 18:09:40.337000,2014-01-07 18:17:36,475.66,161_rank
50.02,-96.04,72.28,12.53,0.000125085,2014-01-07 18:32:00,2014-01-07 18:09:40.337000,2014-01-07 18:20:56,675.66,161_pina
56.38,-94.64,78.62,12.53,0.000125085,2014-01-07 18:32:00,2014-01-07 18:09:40.337000,2014-01-07 18:24:01,860.66,161_gill
64.05,-139.11,92.51,10.53,0.000125085,2014-01-07 18:32:00,2014-01-07 18:09:40.337000,2014-01-07 18:29:41,1200.66,161_daws
61.76,-121.23,86.19,11.53,0.000125085,2014-01-07 18:32:00,2014-01-07 18:09:40.337000,2014-01-07 18:14:06,265.66,161_fsim
58.22,-103.68,80.66,12.53,0.000125085,2014-01-07 18:32:00,2014-01-07 18:09:40.337000,2014-01-07 18:16:21,400.66,161_rabb
62.82,-92.11,126.35,0.05,0.000110185,2014-10-19 05:03:00,2014-10-19 04:23:01.537000,2014-10-19 04:56:53,2031.46,162_rank
64.05,-139.11,111.92,22.05,0.000110185,2014-10-19 05:03:00,2014-10-19 04:23:01.537000,2014-10-19 04:59:48,2206.46,162_daws
69.54,-93.55,66.15,11.8,0.000101833,2014-03-29 17:48:00,2014-03-29 17:45:06.447000,2014-03-29 17:46:06,59.55,163_talo
62.82,-92.11,59.43,12.8,0.000101833,2014-03-29 17:48:00,2014-03-29 17:45:06.447000,2014-03-29 17:46:06,59.55,163_rank
50.02,-96.04,47.25,12.8,0.000101833,2014-03-29 17:48:00,2014-03-29 17:45:06.447000,2014-03-29 17:46:06,59.55,163_pina
56.38,-94.64,53.28,12.8,0.000101833,2014-03-29 17:48:00,2014-03-29 17:45:06.447000,2014-03-29 17:45:26,19.55,163_gill
64.05,-139.11,71.49,10.8,0.000101833,2014-03-29 17:48:00,2014-03-29 17:45:06.447000,2014-03-29 17:45:26,19.55,163_daws
61.76,-121.23,63.9,11.8,0.000101833,2014-03-29 17:48:00,2014-03-29 17:45:06.447000,2014-03-29 17:46:06,59.55,163_fsim
58.22,-103.68,56.41,11.8,0.000101833,2014-03-29 17:48:00,2014-03-29 17:45:06.447000,2014-03-29 17:46:01,54.55,163_rabb
56.66,-111.21,56.79,11.8,0.000101833,2014-03-29 17:48:00,2014-03-29 17:45:06.447000,2014-03-29 17:46:06,59.55,163_mcmu
56.38,-94.64,93.0,4.1,0.00010397399999999999,2014-06-11 09:06:00,2014-06-11 09:01:56.900000,2014-06-11 09:02:39,42.1,164_gill
64.05,-139.11,92.84,2.1,0.000103974,2014-06-11 09:06:00,2014-06-11 09:01:56.900000,2014-06-11 09:02:44,47.1,164_daws
56.66,-111.21,97.43,3.1,0.00010397399999999999,2014-06-11 09:06:00,2014-06-11 09:01:56.900000,2014-06-11 09:02:19,22.1,164_mcmu
62.82,-92.11,75.5,12.13,0.000104393,2014-10-25 17:08:00,2014-10-25 16:50:00.203000,2014-10-25 16:55:31,330.8,165_rank
61.76,-121.23,80.34,11.13,0.00010439299999999999,2014-10-25 17:08:00,2014-10-25 16:50:00.203000,2014-10-25 16:58:31,510.8,165_fsim
58.22,-103.68,72.81,11.13,0.000104393,2014-10-25 17:08:00,2014-10-25 16:50:00.203000,2014-10-25 16:57:16,435.8,165_rabb
56.66,-111.21,73.27,11.13,0.00010439299999999999,2014-10-25 17:08:00,2014-10-25 16:50:00.203000,2014-10-25 16:51:31,90.8,165_mcmu
56.38,-94.64,59.4,17.18,0.000278556,2015-05-05 22:11:00,2015-05-05 22:07:41.803000,2015-05-05 22:07:57,15.2,200_gill
64.05,-139.11,48.7,15.18,0.000278556,2015-05-05 22:11:00,2015-05-05 22:07:41.803000,2015-05-05 22:07:57,15.2,200_daws
56.66,-111.21,51.3,16.18,0.000278556,2015-05-05 22:11:00,2015-05-05 22:07:41.803000,2015-05-05 22:08:27,45.2,200_mcmu
62.82,-92.11,69.99,11.37,0.00022181,2015-03-11 16:22:00,2015-03-11 16:15:55.253000,2015-03-11 16:17:25,89.75,201_rank
56.38,-94.64,65.3,11.37,0.00022181,2015-03-11 16:22:00,2015-03-11 16:15:55.253000,2015-03-11 16:19:30,214.75,201_gill
